lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,filterThreshold,positiveCoef,negativeCoef
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.23,1.5,0.5
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.24,1.5,0.5
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.22,1.5,0.3
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.24,1.7,0.7
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.23,1.7,0.5
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.24,1.7,0.5
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.22,1.7,0.3
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.23,1.9,0.7
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.24,1.9,0.7
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.22,1.9,0.5
50,10,0.25,21,13,8,8,1,7,61.904762,12.5,0.22,1.9,0.3
50,10,0.25,21,12,9,8,1,7,57.142857,12.5,0.23,1.3,0.3
50,10,0.25,21,12,9,8,1,7,57.142857,12.5,0.24,1.3,0.3
50,10,0.25,21,12,9,8,1,7,57.142857,12.5,0.23,1.5,0.3
50,10,0.25,21,12,9,8,1,7,57.142857,12.5,0.24,1.5,0.3
50,10,0.25,21,12,9,8,1,7,57.142857,12.5,0.23,1.7,0.3
50,10,0.25,21,12,9,8,1,7,57.142857,12.5,0.24,1.7,0.3
50,10,0.25,21,12,9,8,1,7,57.142857,12.5,0.23,1.9,0.5
50,10,0.25,21,12,9,8,1,7,57.142857,12.5,0.24,1.9,0.5
50,10,0.25,21,12,9,8,1,7,57.142857,12.5,0.23,1.9,0.3
50,10,0.25,21,12,9,8,1,7,57.142857,12.5,0.24,1.9,0.3
50,10,0.25,21,18,3,8,2,6,85.714286,25,0.17,1.1,0.3
50,10,0.25,21,18,3,8,2,6,85.714286,25,0.18,1.1,0.3
50,10,0.25,21,18,3,8,2,6,85.714286,25,0.19,1.1,0.3
50,10,0.25,21,18,3,8,2,6,85.714286,25,0.17,1.8,0.5
50,10,0.25,21,18,3,8,2,6,85.714286,25,0.18,1.8,0.5
50,10,0.25,21,17,4,8,2,6,80.952381,25,0.15,1.1,0.3
50,10,0.25,21,17,4,8,2,6,80.952381,25,0.16,1.1,0.3
50,10,0.25,21,17,4,8,2,6,80.952381,25,0.19,1.3,0.3
50,10,0.25,21,17,4,8,2,6,80.952381,25,0.17,1.9,0.5
50,10,0.25,21,17,4,8,2,6,80.952381,25,0.18,1.9,0.5
50,10,0.25,21,17,4,8,2,6,80.952381,25,0.19,1.9,0.5
50,9,0.25,21,17,4,8,2,6,80.952381,25,0.17,1.7,0.5
50,9,0.25,21,17,4,8,2,6,80.952381,25,0.18,1.7,0.5
50,11,0.25,21,17,4,8,2,6,80.952381,25,0.17,1.7,0.4
50,12,0.25,21,17,4,8,2,6,80.952381,25,0.17,1.7,0.4
50,11,0.25,21,17,4,8,2,6,80.952381,25,0.18,1.7,0.4
50,12,0.25,21,17,4,8,2,6,80.952381,25,0.18,1.7,0.4
50,9,0.25,21,17,4,8,2,6,80.952381,25,0.17,1.8,0.5
50,9,0.25,21,17,4,8,2,6,80.952381,25,0.18,1.8,0.5
50,12,0.25,21,17,4,8,2,6,80.952381,25,0.17,1.8,0.4
50,12,0.25,21,17,4,8,2,6,80.952381,25,0.18,1.8,0.4
50,10,0.25,21,17,4,8,2,6,80.952381,25,0.17,1.9,0.5
50,10,0.25,21,17,4,8,2,6,80.952381,25,0.18,1.9,0.5
50,10,0.25,21,16,5,8,2,6,76.190476,25,0.17,1.3,0.3
50,10,0.25,21,16,5,8,2,6,76.190476,25,0.18,1.3,0.3
50,10,0.25,21,16,5,8,2,6,76.190476,25,0.2,1.5,0.3
50,10,0.25,21,16,5,8,2,6,76.190476,25,0.15,1.9,0.5
50,10,0.25,21,16,5,8,2,6,76.190476,25,0.16,1.9,0.5
50,8,0.25,21,16,5,8,2,6,76.190476,25,0.17,1.7,0.5
50,8,0.25,21,16,5,8,2,6,76.190476,25,0.18,1.7,0.5
50,10,0.25,21,16,5,8,2,6,76.190476,25,0.17,1.7,0.4
50,10,0.25,21,16,5,8,2,6,76.190476,25,0.18,1.7,0.4
50,8,0.25,21,16,5,8,2,6,76.190476,25,0.17,1.8,0.5
50,8,0.25,21,16,5,8,2,6,76.190476,25,0.18,1.8,0.5
50,10,0.25,21,16,5,8,2,6,76.190476,25,0.17,1.8,0.4
50,11,0.25,21,16,5,8,2,6,76.190476,25,0.17,1.8,0.4
50,10,0.25,21,16,5,8,2,6,76.190476,25,0.18,1.8,0.4
50,11,0.25,21,16,5,8,2,6,76.190476,25,0.18,1.8,0.4
50,9,0.25,21,16,5,8,2,6,76.190476,25,0.17,1.9,0.5
50,9,0.25,21,16,5,8,2,6,76.190476,25,0.18,1.9,0.5
50,11,0.25,21,16,5,8,2,6,76.190476,25,0.17,1.9,0.4
50,12,0.25,21,16,5,8,2,6,76.190476,25,0.17,1.9,0.4
50,11,0.25,21,16,5,8,2,6,76.190476,25,0.18,1.9,0.4
50,12,0.25,21,16,5,8,2,6,76.190476,25,0.18,1.9,0.4
50,10,0.25,21,15,6,8,2,6,71.428571,25,0.15,1.3,0.3
50,10,0.25,21,15,6,8,2,6,71.428571,25,0.16,1.3,0.3
50,10,0.25,21,15,6,8,2,6,71.428571,25,0.2,1.7,0.3
50,10,0.25,21,15,6,8,2,6,71.428571,25,0.2,1.9,0.3
50,10,0.25,21,17,4,8,3,5,80.952381,37.5,0.19,1.5,0.3
50,10,0.25,21,16,5,8,3,5,76.190476,37.5,0.17,1.5,0.3
50,10,0.25,21,16,5,8,3,5,76.190476,37.5,0.18,1.5,0.3
50,10,0.25,21,16,5,8,3,5,76.190476,37.5,0.19,1.7,0.3
50,10,0.25,21,16,5,8,3,5,76.190476,37.5,0.19,1.9,0.3
50,9,0.25,21,16,5,8,3,5,76.190476,37.5,0.17,1.7,0.4
50,9,0.25,21,16,5,8,3,5,76.190476,37.5,0.18,1.7,0.4
50,12,0.25,21,16,5,8,3,5,76.190476,37.5,0.17,1.7,0.3
50,12,0.25,21,16,5,8,3,5,76.190476,37.5,0.18,1.7,0.3
50,9,0.25,21,16,5,8,3,5,76.190476,37.5,0.17,1.8,0.4
50,9,0.25,21,16,5,8,3,5,76.190476,37.5,0.18,1.8,0.4
50,8,0.25,21,16,5,8,3,5,76.190476,37.5,0.17,1.9,0.5
50,8,0.25,21,16,5,8,3,5,76.190476,37.5,0.18,1.9,0.5
50,10,0.25,21,16,5,8,3,5,76.190476,37.5,0.17,1.9,0.4
50,10,0.25,21,16,5,8,3,5,76.190476,37.5,0.18,1.9,0.4
50,10,0.25,21,15,6,8,3,5,71.428571,37.5,0.15,1.5,0.3
50,10,0.25,21,15,6,8,3,5,71.428571,37.5,0.16,1.5,0.3
50,10,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.7,0.3
50,10,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.7,0.3
50,8,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.7,0.4
50,8,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.7,0.4
50,10,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.7,0.3
50,11,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.7,0.3
50,10,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.7,0.3
50,11,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.7,0.3
50,8,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.8,0.4
50,8,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.8,0.4
50,10,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.8,0.3
50,11,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.8,0.3
50,12,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.8,0.3
50,10,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.8,0.3
50,11,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.8,0.3
50,12,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.8,0.3
50,8,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.9,0.4
50,9,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.9,0.4
50,8,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.9,0.4
50,9,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.9,0.4
50,11,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.9,0.3
50,12,0.25,21,15,6,8,3,5,71.428571,37.5,0.17,1.9,0.3
50,11,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.9,0.3
50,12,0.25,21,15,6,8,3,5,71.428571,37.5,0.18,1.9,0.3
50,10,0.25,21,14,7,8,3,5,66.666667,37.5,0.15,1.7,0.3
50,10,0.25,21,14,7,8,3,5,66.666667,37.5,0.16,1.7,0.3
50,10,0.25,21,14,7,8,3,5,66.666667,37.5,0.17,1.9,0.3
50,10,0.25,21,14,7,8,3,5,66.666667,37.5,0.18,1.9,0.3
50,9,0.25,21,14,7,8,3,5,66.666667,37.5,0.17,1.7,0.3
50,9,0.25,21,14,7,8,3,5,66.666667,37.5,0.18,1.7,0.3
50,10,0.25,21,14,7,8,3,5,66.666667,37.5,0.17,1.9,0.3
50,10,0.25,21,14,7,8,3,5,66.666667,37.5,0.18,1.9,0.3
50,10,0.25,21,13,8,8,3,5,61.904762,37.5,0.15,1.9,0.3
50,10,0.25,21,13,8,8,3,5,61.904762,37.5,0.16,1.9,0.3
50,8,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.7,0.3
50,8,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.7,0.3
50,10,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.7,0.2
50,11,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.7,0.2
50,12,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.7,0.2
50,10,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.7,0.2
50,11,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.7,0.2
50,12,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.7,0.2
50,9,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.8,0.3
50,9,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.8,0.3
50,10,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.8,0.2
50,11,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.8,0.2
50,12,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.8,0.2
50,10,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.8,0.2
50,11,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.8,0.2
50,12,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.8,0.2
50,9,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.9,0.3
50,9,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.9,0.3
50,11,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.9,0.2
50,12,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.9,0.2
50,11,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.9,0.2
50,12,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.9,0.2
50,8,0.25,21,13,8,8,4,4,61.904762,50,0.17,1.8,0.3
50,8,0.25,21,13,8,8,4,4,61.904762,50,0.18,1.8,0.3
50,8,0.25,21,13,8,8,4,4,61.904762,50,0.17,1.9,0.3
50,8,0.25,21,13,8,8,4,4,61.904762,50,0.18,1.9,0.3
50,9,0.25,21,14,7,8,5,3,66.666667,62.5,0.17,1.7,0.2
50,9,0.25,21,14,7,8,5,3,66.666667,62.5,0.18,1.7,0.2
50,10,0.25,21,13,8,8,5,3,61.904762,62.5,0.17,1.9,0.2
50,10,0.25,21,13,8,8,5,3,61.904762,62.5,0.18,1.9,0.2
50,9,0.25,21,12,9,8,5,3,57.142857,62.5,0.17,1.8,0.2
50,9,0.25,21,12,9,8,5,3,57.142857,62.5,0.18,1.8,0.2
50,8,0.25,21,12,9,8,5,3,57.142857,62.5,0.17,1.9,0.2
50,9,0.25,21,12,9,8,5,3,57.142857,62.5,0.17,1.9,0.2
50,8,0.25,21,12,9,8,5,3,57.142857,62.5,0.18,1.9,0.2
50,9,0.25,21,12,9,8,5,3,57.142857,62.5,0.18,1.9,0.2
50,8,0.25,21,11,10,8,5,3,52.380952,62.5,0.17,1.7,0.2
50,8,0.25,21,11,10,8,5,3,52.380952,62.5,0.18,1.7,0.2
50,8,0.25,21,11,10,8,5,3,52.380952,62.5,0.17,1.8,0.2
50,8,0.25,21,11,10,8,5,3,52.380952,62.5,0.18,1.8,0.2
50,8,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.7,0.1
50,9,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.7,0.1
50,10,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.7,0.1
50,11,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.7,0.1
50,12,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.7,0.1
50,8,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.7,0.1
50,9,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.7,0.1
50,10,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.7,0.1
50,11,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.7,0.1
50,12,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.7,0.1
50,8,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.8,0.1
50,9,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.8,0.1
50,10,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.8,0.1
50,11,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.8,0.1
50,12,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.8,0.1
50,8,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.8,0.1
50,9,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.8,0.1
50,10,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.8,0.1
50,11,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.8,0.1
50,12,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.8,0.1
50,8,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.9,0.1
50,9,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.9,0.1
50,10,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.9,0.1
50,11,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.9,0.1
50,12,0.25,21,12,9,8,6,2,57.142857,75,0.17,1.9,0.1
50,8,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.9,0.1
50,9,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.9,0.1
50,10,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.9,0.1
50,11,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.9,0.1
50,12,0.25,21,12,9,8,6,2,57.142857,75,0.18,1.9,0.1
