lag,zScoreThreshold,influence,bumpPressCount,correctBumpDetections,incorrectBumpDetections,potholePressCount,correctPotholeDetections,incorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,bumpFalsePositives,potholeFalsePositives,cutoffFreq,actFiltThres,actFilterPosCoef,actFiltNegCoef
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 0.900000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 7, 1, 4.000000, 0.800000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 18, 3, 8, 4, 4, 85.714286, 50.000000, 36, 22, 4.000000, 0.500000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 4, 4, 47.619048, 50.000000, 17, 3, 4.000000, 0.700000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 8, 13, 8, 4, 4, 38.095238, 50.000000, 9, 2, 4.000000, 0.900000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 9, 12, 8, 2, 6, 42.857143, 25.000000, 9, 0, 4.000000, 1.100000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 9, 12, 8, 1, 7, 42.857143, 12.500000, 7, 2, 4.000000, 1.300000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.200000, 0.200000

50, 15.000000, 0.250000, 21, 18, 3, 8, 2, 6, 85.714286, 25.000000, 20, 12, 4.000000, 0.500000, 1.200000, 0.200000
50, 15.000000, 0.250000, 21, 9, 12, 8, 2, 6, 42.857143, 25.000000, 12, 2, 4.000000, 0.700000, 1.200000, 0.200000
50, 15.000000, 0.250000, 21, 7, 14, 8, 1, 7, 33.333333, 12.500000, 6, 2, 4.000000, 0.900000, 1.200000, 0.200000
50, 15.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 5, 2, 4.000000, 1.100000, 1.200000, 0.200000
50, 15.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 3, 3, 4.000000, 1.300000, 1.200000, 0.200000
50, 15.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 1, 3, 4.000000, 1.500000, 1.200000, 0.200000

50, 10.000000, 0.250000, 21, 18, 3, 8, 4, 4, 85.714286, 50.000000, 36, 22, 4.000000, 0.500000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 19, 2, 8, 0, 8, 90.476190, 0.000000, 14, 8, 4.000000, 0.500000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 14, 7, 8, 0, 8, 66.666667, 0.000000, 10, 4, 4.000000, 0.500000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 12, 9, 8, 0, 8, 57.142857, 0.000000, 4, 0, 4.000000, 0.500000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 17, 4, 8, 3, 5, 80.952381, 37.500000, 37, 25, 4.000000, 0.500000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 20, 1, 8, 1, 7, 95.238095, 12.500000, 21, 10, 4.000000, 0.500000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 15, 6, 8, 0, 8, 71.428571, 0.000000, 11, 7, 4.000000, 0.500000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 14, 7, 8, 0, 8, 66.666667, 0.000000, 6, 2, 4.000000, 0.500000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 15, 6, 8, 4, 4, 71.428571, 50.000000, 36, 29, 4.000000, 0.500000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 20, 1, 8, 3, 5, 95.238095, 37.500000, 29, 15, 4.000000, 0.500000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 17, 4, 8, 0, 8, 80.952381, 0.000000, 14, 7, 4.000000, 0.500000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 14, 7, 8, 0, 8, 66.666667, 0.000000, 10, 4, 4.000000, 0.500000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 14, 7, 8, 4, 4, 66.666667, 50.000000, 36, 30, 4.000000, 0.500000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 20, 1, 8, 3, 5, 95.238095, 37.500000, 31, 20, 4.000000, 0.500000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 19, 2, 8, 0, 8, 90.476190, 0.000000, 14, 8, 4.000000, 0.500000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 15, 6, 8, 0, 8, 71.428571, 0.000000, 11, 6, 4.000000, 0.500000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 13, 8, 8, 4, 4, 61.904762, 50.000000, 35, 32, 4.000000, 0.500000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 20, 1, 8, 3, 5, 95.238095, 37.500000, 33, 23, 4.000000, 0.500000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 20, 1, 8, 1, 7, 95.238095, 12.500000, 18, 9, 4.000000, 0.500000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 15, 6, 8, 0, 8, 71.428571, 0.000000, 13, 7, 4.000000, 0.500000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 4, 4, 47.619048, 50.000000, 17, 3, 4.000000, 0.700000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 7, 1, 4.000000, 0.700000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 5, 0, 4.000000, 0.700000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 0.700000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 3, 5, 42.857143, 37.500000, 19, 3, 4.000000, 0.700000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 11, 10, 8, 1, 7, 52.380952, 12.500000, 10, 2, 4.000000, 0.700000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 6, 1, 4.000000, 0.700000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 5, 0, 4.000000, 0.700000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 4, 4, 38.095238, 50.000000, 19, 5, 4.000000, 0.700000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 11, 10, 8, 3, 5, 52.380952, 37.500000, 13, 2, 4.000000, 0.700000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 7, 1, 4.000000, 0.700000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 5, 0, 4.000000, 0.700000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 4, 4, 38.095238, 50.000000, 19, 5, 4.000000, 0.700000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 11, 10, 8, 3, 5, 52.380952, 37.500000, 13, 3, 4.000000, 0.700000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 7, 1, 4.000000, 0.700000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 6, 1, 4.000000, 0.700000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 4, 4, 42.857143, 50.000000, 18, 7, 4.000000, 0.700000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 12, 9, 8, 3, 5, 57.142857, 37.500000, 13, 4, 4.000000, 0.700000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 11, 10, 8, 1, 7, 52.380952, 12.500000, 8, 2, 4.000000, 0.700000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 11, 10, 8, 0, 8, 52.380952, 0.000000, 7, 1, 4.000000, 0.700000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 4, 4, 38.095238, 50.000000, 9, 2, 4.000000, 0.900000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 0.900000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 0.900000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 0.900000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 7, 14, 8, 3, 5, 33.333333, 37.500000, 11, 2, 4.000000, 0.900000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 6, 2, 4.000000, 0.900000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 1, 4.000000, 0.900000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 0.900000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 6, 15, 8, 3, 5, 28.571429, 37.500000, 12, 2, 4.000000, 0.900000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 2, 6, 47.619048, 25.000000, 7, 2, 4.000000, 0.900000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 0.900000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 0.900000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 6, 15, 8, 3, 5, 28.571429, 37.500000, 12, 2, 4.000000, 0.900000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 3, 5, 47.619048, 37.500000, 7, 1, 4.000000, 0.900000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 0.900000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 1, 4.000000, 0.900000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 7, 14, 8, 3, 5, 33.333333, 37.500000, 11, 3, 4.000000, 0.900000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 3, 5, 47.619048, 37.500000, 8, 1, 4.000000, 0.900000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 6, 2, 4.000000, 0.900000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 0.900000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 2, 6, 42.857143, 25.000000, 9, 0, 4.000000, 1.100000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 1.100000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.100000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 2, 6, 42.857143, 25.000000, 9, 0, 4.000000, 1.100000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 1, 4.000000, 1.100000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 1.100000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 2, 6, 38.095238, 25.000000, 10, 0, 4.000000, 1.100000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 7, 2, 4.000000, 1.100000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 0, 4.000000, 1.100000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 2, 6, 38.095238, 25.000000, 10, 0, 4.000000, 1.100000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 7, 1, 4.000000, 1.100000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 1, 4.000000, 1.100000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 2, 6, 38.095238, 25.000000, 9, 1, 4.000000, 1.100000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 8, 1, 4.000000, 1.100000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 6, 2, 4.000000, 1.100000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 1, 7, 42.857143, 12.500000, 7, 2, 4.000000, 1.300000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.300000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 0, 4.000000, 1.300000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 9, 12, 8, 1, 7, 42.857143, 12.500000, 7, 2, 4.000000, 1.300000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 1, 4.000000, 1.300000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.300000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 1, 7, 38.095238, 12.500000, 8, 2, 4.000000, 1.300000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 3, 4.000000, 1.300000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.300000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 1, 7, 38.095238, 12.500000, 8, 2, 4.000000, 1.300000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 5, 2, 4.000000, 1.300000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 1, 4.000000, 1.300000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 8, 13, 8, 1, 7, 38.095238, 12.500000, 8, 2, 4.000000, 1.300000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 1, 7, 47.619048, 12.500000, 6, 2, 4.000000, 1.300000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 5, 2, 4.000000, 1.300000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.200000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 1.200000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.500000, 1.200000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 0, 4.000000, 1.500000, 1.200000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.400000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 1.400000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 1, 4.000000, 1.500000, 1.400000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.500000, 1.400000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.600000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.600000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 1.600000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 0, 4.000000, 1.500000, 1.600000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.800000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 1.800000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 1.800000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 4, 1, 4.000000, 1.500000, 1.800000, 0.800000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 2.000000, 0.200000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 2, 3, 4.000000, 1.500000, 2.000000, 0.400000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 2.000000, 0.600000
50, 10.000000, 0.250000, 21, 10, 11, 8, 0, 8, 47.619048, 0.000000, 3, 2, 4.000000, 1.500000, 2.000000, 0.800000
50, 10.000000, 0.250000, 21, 13, 8, 8, 3, 5, 61.904762, 37.500000, 41, 28, 4.000000, 0.500000, 2.000000, 0.100000
50, 15.000000, 0.250000, 21, 13, 8, 8, 4, 4, 61.904762, 50.000000, 35, 33, 4.000000, 0.500000, 2.000000, 0.100000
50, 20.000000, 0.250000, 21, 13, 8, 8, 4, 4, 61.904762, 50.000000, 32, 32, 4.000000, 0.500000, 2.000000, 0.100000
50, 30.000000, 0.250000, 21, 11, 10, 8, 3, 5, 52.380952, 37.500000, 20, 26, 4.000000, 0.500000, 2.000000, 0.100000
50, 20.000000, 0.250000, 21, 5, 16, 8, 3, 5, 23.809524, 37.500000, 15, 1, 4.000000, 0.800000, 2.000000, 0.100000
